loan_id,status,due_date,paid_date,loan_amount,risk_score,gender,age,dependants,device,urban_city,loan_usage
bb08b55c1f,loan,2018-06-02,,1900,0.133,Mujer,33,0,android,rural,Otros
f23fd22961,paid,2018-06-01,2018-05-29,2400,0.941,Mujer,41,2,ios,urbano,Educacion
b723773be8,paid,2018-06-01,2018-05-21,1900,0.945,Mujer,45,0,ios,urbano,Educacion
726c7712e0,paid,2018-06-01,2018-04-02,2000,0.905,Mujer,18,0,ios,rural,Educacion
8151753f45,paid,2018-06-01,2018-05-29,1600,0.908,Hombre,18,0,ios,urbano,Educacion
d45e838779,paid,2018-06-01,2018-05-25,1800,0.973,Mujer,40,0,ios,urbano,Educacion
8e929da5e9,paid,2018-06-01,2018-06-01,2200,0.864,Mujer,31,1,ios,urbano,Inversion
910d27f041,paid,2018-06-01,2018-05-22,2300,0.926,Hombre,26,2,ios,urbano,Educacion
e40dc97aae,paid,2018-06-01,2018-06-18,3100,0.909,Hombre,18,0,ios,rural,Inversion
8ddfaa001b,paid,2018-06-01,2018-05-29,1900,0.973,Mujer,55,1,ios,urbano,Educacion
6c659b1648,loan,2018-06-01,,2600,0.840,Mujer,40,0,ios,rural,Otros
0f8cf618c2,loan,2018-06-01,,2200,0.917,Hombre,18,0,ios,urbano,Otros
8bcc58faf2,loan,2018-06-01,,2500,0.923,Mujer,23,1,ios,urbano,Educacion
b64ebed840,paid,2018-06-01,2018-04-13,1700,0.980,Mujer,25,1,ios,urbano,Otros
ca31af61c8,paid,2018-06-01,2018-05-14,2400,0.975,Mujer,21,1,ios,urbano,Inversion
9bd14bad4d,loan,2018-06-01,,2000,0.917,Hombre,18,0,ios,urbano,Personal
9b8abfd22d,loan,2018-06-01,,2500,0.935,Mujer,35,0,ios,urbano,Inversion
f9dfde3a68,paid,2018-06-04,2018-06-04,2300,0.933,Mujer,33,2,ios,urbano,Educacion
82cb85fcf9,paid,2018-06-04,2018-07-11,2400,0.915,Mujer,18,1,ios,urbano,Personal
e9e9a816aa,paid,2018-06-04,2018-05-29,1600,0.934,Mujer,34,0,ios,urbano,Personal
3b3276f460,paid,2018-06-04,2018-05-19,2200,0.991,Mujer,53,0,ios,urbano,Educacion
535e7b22e2,paid,2018-06-04,2018-06-04,2700,0.986,Hombre,54,1,ios,urbano,Educacion
efbf1aec4e,paid,2018-06-05,2018-05-18,2100,0.929,Hombre,29,0,ios,rural,Otros
fd7155a299,paid,2018-06-05,2018-05-31,2700,0.882,Mujer,46,2,ios,urbano,Educacion
4739afc2dc,loan,2018-06-05,,2500,0.899,Hombre,31,3,ios,urbano,Inversion
2664216689,paid,2018-06-04,2018-04-17,2200,0.996,Hombre,29,0,ios,urbano,Educacion
99c7962ff9,paid,2018-06-04,2018-06-01,2600,0.604,Mujer,18,0,android,urbano,Otros
023a8fa754,paid,2018-06-03,2018-05-16,2600,0.949,Hombre,49,1,ios,urbano,Educacion
3b62a78655,paid,2018-06-01,2018-05-18,3000,0.943,Mujer,43,0,ios,urbano,Educacion
910789600e,paid,2018-06-01,2018-06-01,2000,0.980,Mujer,50,1,ios,urbano,Inversion
8bd39fdb22,loan,2018-06-01,,2300,0.724,Mujer,24,0,ios,rural,Otros
14a2cd95ff,loan,2018-06-01,,3300,0.637,Hombre,37,0,android,rural,Otros
c24686441f,paid,2018-06-01,2018-05-18,2800,0.969,Hombre,51,1,ios,urbano,Educacion
d7e273e937,paid,2018-06-01,2018-05-29,1900,0.644,Mujer,44,0,android,urbano,Otros
d5dfc55fcd,paid,2018-06-01,2018-06-01,2300,0.689,Hombre,23,1,android,rural,Personal
18e9a4fc95,loan,2018-06-01,,1800,0.640,Mujer,40,2,android,rural,Inversion
d6bd1d3679,loan,2018-06-03,,2100,0.696,Hombre,37,1,android,urbano,Personal
0c832c1a0c,paid,2018-06-01,2018-06-01,2600,0.951,Mujer,51,0,android,urbano,Otros
0a15a3c715,paid,2018-06-02,2018-06-01,2300,0.753,Mujer,53,1,ios,urbano,Personal
9f58e58ef8,paid,2018-06-02,2018-05-07,2200,0.959,Hombre,50,3,android,urbano,Educacion
